"date","day","field","harvest","plant","shoot","shoot_height"
2017-06-08,4,"A","N","5","2",2.3
2017-06-08,4,"A","N","5","3",2.5
2017-06-08,4,"A","N","5","4",4.8
2017-06-08,4,"A","N","5","5",2.6
2017-06-08,4,"A","N","5","6",3.2
2017-06-08,4,"A","N","5","7",3.3
2017-06-08,4,"A","N","6","1",2.9
2017-06-08,4,"A","N","6","2",1.7
2017-06-08,4,"A","N","6","3",2
2017-06-08,4,"A","N","6","4",1.8
2017-06-08,4,"A","N","6","5",2.3
2017-06-08,4,"A","N","6","6",3.6
2017-06-08,4,"A","N","6","7",1.9
2017-06-08,4,"A","N","7","1",1.5
2017-06-08,4,"A","N","7","2",5.3
2017-06-08,4,"A","N","7","3",2.2
2017-06-08,4,"A","N","7","4",2.1
2017-06-08,4,"A","N","7","5",1.8
2017-06-08,4,"A","N","7","6",3.5
2017-06-08,4,"A","N","7","7",2
2017-06-08,4,"A","N","8","1",3.8
2017-06-08,4,"A","N","8","2",4.5
2017-06-08,4,"A","N","8","3",3.2
2017-06-08,4,"A","N","8","4",4
2017-06-08,4,"A","N","8","5",3.4
2017-06-08,4,"A","N","8","6",1.6
2017-06-08,4,"A","N","8","7",3.2
2017-06-08,4,"A","N","9","1",3.1
2017-06-08,4,"A","N","9","2",3.7
2017-06-08,4,"A","N","9","3",2.3
2017-06-08,4,"A","N","9","4",2.6
2017-06-08,4,"A","N","9","5",1.8
2017-06-08,4,"A","N","9","6",1.5
2017-06-08,4,"A","N","9","7",3.5
2017-06-08,4,"A","N","10","1",5.4
2017-06-08,4,"A","N","10","2",3
2017-06-08,4,"A","N","10","3",2.1
2017-06-08,4,"A","N","10","4",3.4
2017-06-08,4,"A","N","10","5",3.2
2017-06-08,4,"A","N","10","6",2.6
2017-06-08,4,"A","N","10","7",3.3
2017-06-08,4,"B","N","1","1",2.8
2017-06-08,4,"B","N","1","2",7
2017-06-08,4,"B","N","1","3",4.5
2017-06-08,4,"B","N","1","4",4.8
2017-06-08,4,"B","N","1","5",4.3
2017-06-08,4,"B","N","1","6",5.2
2017-06-08,4,"B","N","1","7",3.8
2017-06-08,4,"B","N","2","1",3.3
2017-06-08,4,"B","N","2","2",6.4
2017-06-08,4,"B","N","2","3",7.7
2017-06-08,4,"B","N","2","4",3.5
2017-06-08,4,"B","N","2","5",2.7
2017-06-08,4,"B","N","2","6",7.3
2017-06-08,4,"B","N","2","7",2.7
2017-06-08,4,"B","N","3","1",3.6
2017-06-08,4,"B","N","3","2",7.7
2017-06-08,4,"B","N","3","3",4
2017-06-08,4,"B","N","3","4",2.7
2017-06-08,4,"B","N","3","5",7.1
2017-06-08,4,"B","N","3","6",6.1
2017-06-08,4,"B","N","3","7",2.2
2017-06-08,4,"B","N","4","1",7.6
2017-06-08,4,"B","N","4","2",3.9
2017-06-08,4,"B","N","4","3",5.1
2017-06-08,4,"B","N","4","4",10.3
2017-06-08,4,"B","N","4","5",9.7
2017-06-08,4,"B","N","4","6",2.7
2017-06-08,4,"B","N","4","7",2.9
2017-06-08,4,"B","N","5","1",2.8
2017-06-08,4,"B","N","5","2",4.1
2017-06-08,4,"B","N","5","3",3.3
2017-06-08,4,"B","N","5","4",2.2
2017-06-08,4,"B","N","5","5",1.5
2017-06-08,4,"B","N","5","6",3.6
